部品番号,部品名,シンワ倉庫,アラン,ゆーや,しゅん,たくや,合計,最終更新
702927,フラッパー　シリコン,0,0,1,0,0,1,7/16 17:12
800063,排水ポリタンク,0,0,0,0,0,0,5/31 19:15
800111,フレキ用ニップル13mm,5,0,0,0,0,5,5/31 19:15
800112,ボールバルブ 13mm,0,0,0,0,0,0,5/31 19:15
800113,両ナットボールバルブ13mm,0,0,0,0,0,0,5/31 19:15
800114,片ナットボールバルブ13mm,1,0,0,0,0,1,5/31 19:15
800115,ブレードフレキ500L,1,0,0,0,0,1,5/31 19:15
800116,ブレードフレキ900L,0,0,0,0,0,0,5/31 19:15
800119,クリーニングハッチ部Oリング,1,0,5,0,0,6,5/31 19:15
800126,片ナットチーズ,2,-1,1,0,0,2,5/31 19:15
800130,L字 排水ホース継手,0,0,0,0,0,0,5/31 19:15
800135,異形ニップル20×13,0,0,0,0,0,0,5/31 19:15
800137,T字 排水ホース継手,0,0,0,0,0,0,5/31 19:15
800139,ヒーターシール45.5×22×5,2,0,3,0,0,5,5/31 19:15
800147,引掛ゴムプラグ,0,0,0,0,1,1,5/31 19:15
800171,プラグIL,1,0,0,0,1,2,7/9 11:11
800173,引掛キャップ3P 20A 250V,3,0,0,0,0,3,5/31 19:15
800180,PFAチューブ4×2×10m,0,1,11,10,13,35,7/16 13:05
800181,PFAチューブ6×4×10m,13,3,5,0,2,23,5/31 19:15
800182,PFAチューブ8×6×10m,5,0,0,0,0,5,5/31 19:15
1006940,XT8　オーリング　35×3.5,1,0,0,2,0,3,5/31 19:15
2150009,圧力,0,0,0,0,0,0,5/31 19:15
2250311,V-Belt Clamp (for 19465),0,0,1,0,0,1,5/31 19:15
2254131,ALPスリーブピストンAssy,2,1,1,2,0,6,5/31 19:15
2255015,グラインダー EK11,0,0,0,0,0,0,5/31 19:15
2255106,K30 グライディングディスク,0,0,1,0,0,1,5/31 19:15
2255121,ALPフローメーター,0,0,0,0,0,0,5/31 19:15
2255141,ALPアジャスティングモーターEK11,0,0,0,0,0,0,5/31 19:15
2255275,オリフィス d4.1/0.8,0,0,0,0,0,0,5/31 19:15
2255277,リストリクターD4.1/1.1,0,0,0,0,0,0,5/31 19:15
2255279,C5 ｵﾘﾌｨｽ D4.1/2.2,0,0,0,0,0,0,5/31 19:15
2255280,ALPオリフィスD2.1×0.4,0,0,0,0,0,0,5/31 19:15
2255281,C5 ｵﾘﾌｨｽD2.1/0.6,2,0,0,0,0,2,5/31 19:15
2255315,C5ギヤポンプ,0,0,0,0,0,0,5/31 19:15
2255350,ALPスライダーASSYUS,0,0,0,0,0,0,5/31 19:15
2255370,ALPグラインダーAssyEK11,0,0,0,0,0,0,5/31 19:15
2256032,カップリングピース,0,3,0,0,0,3,5/31 19:15
2256064,プロコンポンプモーター230v,0,0,0,0,0,0,5/31 19:15
2256142,ALP/c35ミルクジェットユニットAssy,1,0,1,0,0,2,5/31 19:15
2256154,ALPポンプモーター,1,0,0,0,0,1,5/31 19:15
2256227,ALPオリフィス4.1×1.4,17,4,1,0,0,22,6/25 19:41
2256232,ALPピストンASSY,1,1,0,0,0,2,5/31 19:15
2256272,ALP 12Cボイラーミルク,0,0,0,0,0,0,5/31 19:15
2256374,ALP電磁弁Y7,1,2,1,0,0,4,5/31 19:15
2256375,スチームボイラーinsulation,0,0,0,0,0,0,5/31 19:15
2256379,ALP電磁弁グループY1-Y3,1,0,0,0,0,1,5/31 19:15
2256397,C35ミルクフローメジャー,1,1,1,0,0,3,5/31 19:15
2256412,ALP集中排水管New,0,0,0,0,0,0,5/31 19:15
2257002,ドロワーBOX,1,0,0,0,0,1,5/31 19:15
2257004,C35タブレットシューター,0,0,0,0,0,0,5/31 19:15
2257007,C35抽出部カバー,3,1,0,0,0,4,5/31 19:15
2257008,ホッパーノブ,3,2,1,2,2,10,7/17 10:29
2257009,C35ホッパーベース,0,1,0,0,0,1,5/31 19:15
2257047,C35ホッパー,0,2,0,0,0,2,5/31 19:15
2257098,C35フロントパネルフレーム,2,0,0,0,0,2,5/31 19:15
2257099,C35mcsフロントパネルフレーム,0,0,0,0,0,0,5/31 19:15
2257133,ALPスタンプピストンASSY,0,-1,1,3,0,3,7/15 20:48
2257183,C35圧力センサーキット,0,1,1,0,0,2,5/31 19:15
2300084,ワッシャー,5,0,0,0,7,12,6/29 13:54
2302009,M3×5,10,0,10,8,8,36,6/29 13:56
2303083,M4×6,26,11,0,8,9,54,7/9 11:09
2304062,Fillister Head Allen Screw 6Sm3x5A2,24,23,10,7,6,70,7/18 10:57
2306004,ALPVクランプ,0,0,0,0,0,0,5/31 19:15
2307012,Hexagon socket head cap screw DIN7984 M4,5,0,10,16,5,36,6/29 13:56
2404002,ALPT型スリーブ,4,2,0,0,0,6,5/31 19:15
2406004,ALPテフロンホースノズル,2,2,0,0,0,4,5/31 19:15
2406093,C5 シリコンプレッシャーホースD7/4,3,0,0,0,0,3,5/31 19:15
2406120,ドレンコネクター　アッパー,0,0,0,0,0,0,5/31 19:15
2407048,XT8 チューブエアー,2,0,0,0,0,2,5/31 19:15
2500012,C60Oリング17.17×1.78,20,9,5,4,0,38,5/31 19:15
2500075,OリングNBR70.570Sh5.0×2.0,5,2,0,0,0,7,5/31 19:15
2503031,ALPシール8.9X4,0,0,0,0,0,0,5/31 19:15
2503033,負圧弁Oリング,10,2,3,2,3,20,7/15 23:46
2504001,ALP Oﾘﾝｸﾞ 3.68X1.78,5,0,0,0,0,5,5/31 19:15
2506005,ALPOリング14×1.5EPDM,10,8,10,0,0,28,5/31 19:15
2506016,ALPOリング11×1.5,23,10,2,0,0,35,5/31 19:15
2506018,ALPOリング94×4,11,3,0,0,0,14,5/31 19:15
2604122,Bar プラグ D6 PM0806R,2,0,1,0,1,4,5/31 19:15
2604258,電磁弁 3/2D4-2.5,1,0,0,0,0,1,5/31 19:15
2604263,ボイラーフィルター,0,1,0,0,0,1,5/31 19:15
2606011,ALPコーヒーミルクデストリビューター,11,0,1,0,0,12,5/31 19:15
2606015,電磁弁Y5,6,1,1,0,0,8,5/31 19:15
2606016,ALP電磁弁2/2NW1.5,4,3,1,0,0,8,5/31 19:15
2606020,ALP 電磁弁3/2NW1.5,1,1,0,0,0,2,5/31 19:15
2606021,電磁弁2/2 NW1.5,0,0,0,0,0,0,5/31 19:15
2606037,ALP電磁弁2/2NW2.5,1,2,0,0,0,3,5/31 19:15
2606040,ALP電磁弁2/2NW3.0,0,4,1,0,0,5,7/5 19:38
2607001,ALP電磁弁ハウジング2/2way,0,10,5,0,0,15,5/31 19:15
2607003,ALP電磁弁ハウジング,5,2,0,0,0,7,5/31 19:15
2607004,C5安全弁Assy4.0bar_11,0,0,0,0,0,0,5/31 19:15
2607005,C5安全弁Assy12.0BarCrNi,2,0,1,0,0,3,5/31 19:15
2704561,ALPコンデンサー16uF,1,1,1,0,0,3,5/31 19:15
2706001,動力C35コーヒーヒーターエレメント,0,1,0,0,0,1,5/31 19:15
2706003,動力C35スチームヒーターエレメント,4,2,1,0,0,7,5/31 19:15
2706008,ALPコントロール基板,0,1,0,0,0,1,5/31 19:15
2706009,ALPカードプリント基板,0,1,0,0,0,1,5/31 19:15
2706011,ALPマグネットスイッチ,1,1,0,0,0,2,5/31 19:15
2706067,ALP過昇防止器コーヒーボイラー,2,1,0,0,0,3,5/31 19:15
2706076,ALPユーザーカード,0,0,0,0,0,0,5/31 19:15
2706084,C35/ALPコーヒーヒーターエレメントセット,4,1,2,0,0,7,5/31 19:15
2706091,ALP水位センサー,2,1,0,0,1,4,5/31 19:15
2706197,ALPコネクション基板,1,1,1,0,0,3,5/31 19:15
2706223,c35/ALPスチームヒーターエレメント(MCD),6,2,0,0,0,8,5/31 19:15
2707012,c35ディスプレイケーブルJ70RS485,3,1,0,0,0,4,5/31 19:15
2707024,c35パワーPCB,0,1,0,0,0,1,5/31 19:15
2707027,C35ディスプレイケーブルJ68,0,0,0,0,0,0,5/31 19:15
2707035,C35 ディスプレイタッチパネル,0,0,0,0,0,0,5/31 19:15
2707075,ポンプ用コンデンサー7uF,1,1,0,0,0,2,5/31 19:15
2707101,C35ユーザーカード,1,1,0,0,0,2,5/31 19:15
2707102,C35マネージャカード,1,1,0,0,0,2,5/31 19:15
2707104,メモリーカードc35,0,1,0,0,0,1,5/31 19:15
2906013,メリタAMCクリーナー,0,0,0,0,0,0,5/31 19:15
3210036,トライアック基板 EVO,0,0,0,0,0,0,5/31 19:15
3210070,Evo スチームタップパイプ,1,2,1,0,0,4,5/31 19:15
3210507,EVO2 ASSYユニット,1,0,1,0,0,2,5/31 19:15
3210512,Evo2 スチームタップ右,0,0,0,0,0,0,5/31 19:15
3210513,Evo2 スチームタップ左,0,0,0,0,0,0,5/31 19:15
3211007,ボイラー13L,0,0,0,0,0,0,5/31 19:15
3211012,キーボード EVO,0,1,1,0,0,2,5/31 19:15
3211013,キーボード (Tea) EVO,1,0,1,0,0,2,5/31 19:15
3211018,EVO ハンドルスチーム,1,1,1,0,0,3,5/31 19:15
3211020,DC PRO コンプ スチームタップ,2,0,3,0,0,5,5/31 19:15
3211039,トライアックグループ DC PRO EVO,0,0,0,0,0,0,5/31 19:15
4000002,スイッチ4P,0,1,1,0,0,2,5/31 19:15
4000003,EVO トランス,0,0,1,0,0,1,5/31 19:15
4000004,Evo リレー　400V B230V,1,1,2,0,0,4,5/31 19:15
4000006,コンデンサ 10uf,0,1,1,0,0,2,5/31 19:15
4000009,Evo ポンプLT,1,1,2,0,0,4,5/31 19:15
4000022,ボールタップ1/4,0,0,0,0,0,0,5/31 19:15
4000023,過昇防止 25A,0,0,0,0,0,0,5/31 19:15
4000025,バルブ 3-WAY 24V,0,0,3,0,0,3,5/31 19:15
4000026,EVO 給水電磁弁,0,0,2,0,0,2,5/31 19:15
4000039,オーリング 150,0,0,1,0,0,1,5/31 19:15
4000208,ダラコルテ　ポンプモーター,0,0,0,0,0,0,5/31 19:15
4000313,Evo 電磁弁 2V 24V D3V,0,2,2,0,1,5,5/31 19:15
4000325,シリコンパイプ6×10,0,0,1,0,0,1,5/31 19:15
4210017,エボ　ドレインボックス,0,0,1,0,0,1,5/31 19:15
4210028,Evo フローメーター,1,0,2,0,0,3,5/31 19:15
4210039,B-MC-0039 SHOWER,0,0,0,0,0,0,5/31 19:15
4210047,Evo 負圧弁,3,0,2,0,0,5,6/26 15:14
4210048,安全弁 3/8 1.5bar,0,0,1,0,0,1,5/31 19:15
